Category,Section,Location,Match Bytes,Match Value,Label,Code Unit
Identity,nintendo,04f15fe8,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_DS-4_6_13"""
Identity,nintendo,04f15fac,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_MM-4_6_13"""
Identity,nintendo,04f16024,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_SC-4_6_13"""
Identity,nintendo,04f15fca,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NEX_UT-4_6_13"""
Identity,nintendo,04f15db4,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_gfx-8_2_1-Release"""
Identity,nintendo,04f15dbd,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_gfx-8_2_1-Release"""
Identity,nintendo,04f15d53,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_libcurl-8_2_1-Release"""
Identity,nintendo,04f15d5c,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_libcurl-8_2_1-Release"""
Identity,nintendo,04f15d85,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_libz-8_2_1-Release"""
Identity,nintendo,04f15d8e,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoSDK_libz-8_2_1-Release"""
Identity,nintendo,04f15e12,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_Font-8_2_1-Release"""
Identity,nintendo,04f15e1b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_Font-8_2_1-Release"""
Identity,nintendo,04f15e71,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_G3d-8_2_1-Release"""
Identity,nintendo,04f15e7a,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_G3d-8_2_1-Release"""
Identity,nintendo,04f15de2,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_Ui2d-8_2_1-Release"""
Identity,nintendo,04f15deb,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_Ui2d-8_2_1-Release"""
Identity,nintendo,04f15e42,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_Vfx-8_2_1-Release"""
Identity,nintendo,04f15e4b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+NintendoWare_Vfx-8_2_1-Release"""
Identity,nintendo,04f15ec1,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+Pia-5_19_1"""
