Category,Section,Location,Match Bytes,Match Value,Label,Code Unit
Identity,nintendo,04f15ea0,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+PiaCommon-5_19_1"""
Identity,nintendo,04f15f07,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+PiaLan-5_19_1"""
Identity,nintendo,04f15f6b,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+PiaLocal-5_19_1"""
Identity,nintendo,04f15edc,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+PiaNex-5_19_1-forNEX-4_6_3"""
Identity,nintendo,04f15f25,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+PiaSession-5_19_1"""
Identity,nintendo,04f15f47,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""SDK MW+Nintendo+PiaTransport-5_19_1"""
Identity,nintendo,04247b28,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""_ZN2nn7account25CachedNintendoAccountInfoC1Ev"""
Identity,nintendo,04247e92,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
Identity,nintendo,04247eb3,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
Identity,nintendo,041fcb9d,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""_ZN3app12nintendogshi21set_nintendogs_effectERNS_18ItemModuleAccessorEb"""
Identity,nintendo,041fcbaf,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""_ZN3app12nintendogshi21set_nintendogs_effectERNS_18ItemModuleAccessorEb"""
Identity,nintendo,041fcbe5,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""_ZN3app12nintendogshi23is_training_camera_zoomEv"""
Identity,nintendo,041fcc16,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""_ZN3app12nintendogshi24change_camera_type_meleeEv"""
Identity,nintendo,04247ef5,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo10GetCountryEPm"""
Identity,nintendo,04247f67,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo11GetBirthdayEPm"""
Identity,nintendo,04247f2f,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo9GetGenderEPm"""
Identity,nintendo,041c3a13,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""__nnDetailNintendoSdkRuntimeObjectFile"""
Identity,nintendo,041c3a3a,4e 69 6e 74 65 6e 64 6f,Nintendo,,"ds ""__nnDetailNintendoSdkRuntimeObjectFileRefer"""
Identity,nintendo,044a0f38,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""api-%%.znc.srv.nintendo.net"""
Identity,nintendo,042f633c,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""g%08x-%%.s.n.srv.nintendo.net"""
Identity,nintendo,04290430,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""https://www-aaaba-%-hac.cdn.nintendo.net/"""
Identity,nintendo,04359da1,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""https://www-aaaba-%-hac.cdn.nintendo.net/{$lang}/index.html"""
Identity,nintendo,04358c7a,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""nintendo64"""
Identity,nintendo,04328752,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""nintendogs"""
Identity,nintendo,0440f568,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""nintendogshi"""
Identity,nintendo,0428fda1,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""nncs1-%.n.n.srv.nintendo.net"""
Identity,nintendo,0426e366,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""nncs2-%.n.n.srv.nintendo.net"""
Identity,nintendo,043cc2b0,6e 69 6e 74 65 6e 64 6f,nintendo,,"ds ""set_nintendogs_effect"""
Identity,account,0449deba,41 63 63 6f 75 6e 74,Account,,?? 41h    A
Identity,account,0449e5df,41 63 63 6f 75 6e 74,Account,,"ds ""N2nn3nex18SigloAccountFacadeE"""
Identity,account,0449e67a,41 63 63 6f 75 6e 74,Account,s_N2nn3nex20JobAcquireNsaIdTokenIN_0449e650,"ds ""N2nn3nex20JobAcquireNsaIdTokenINS0_18SigloAccountFacadeEEE"""
Identity,account,0449e2d5,41 63 63 6f 75 6e 74,Account,s_N2nn3nex20PseudoGlobalVariableIN_0449e2b0,"ds ""N2nn3nex20PseudoGlobalVariableINS0_39AccountManagementServiceDDLDeclarationsEEE"""
Identity,account,041cff68,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec19ShopServiceAccessor7RequestEPNS1_13AsyncResponseERKNS_7account3UidENS0_11ShopService6MethodEPKcRKNS1_8PostDataENS_8TimeSpanE"""
Identity,account,042044f9,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec19ShowShopProductListEPKNS0_5NsUidEiPKcRKNS_7account10UserHandleE"""
Identity,account,042044ae,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec22ShowShopProductDetailsENS0_5NsUidERKNS_7account10UserHandleE"""
Identity,account,0420454b,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2ec24ShowShopAddOnContentListENS_13ApplicationIdERKNS_7account10UserHandleE"""
Identity,account,04245b17,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs13MountSaveDataEPKcRKNS_7account3UidE"""
Identity,account,04245ad2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs14EnsureSaveDataERKNS_7account3UidE"""
Identity,account,04245b4a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs15GetSaveDataSizeEPlS1_RKNS_7account3UidE"""
Identity,account,04245b7b,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn2fs18IsSaveDataExistingERKNS_7account3UidE"""
Identity,account,0424784d,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn3web14ShowWebPageArg6SetUidERKNS_7account3UidE"""
Identity,account,0424c4e2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn3web16ShowLobbyPageArg6SetUidERKNS_7account3UidE"""
Identity,account,04244330,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn5album22SaveAndShareScreenshotEPKvmNS0_9ImageSizeENS0_17AlbumReportOptionERKNS_7account3UidEPKc"""
Identity,account,04248b58,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn5prepo10PlayReport4SaveERKNS_7account3UidE"""
Identity,account,04247a9a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account10InitializeEv"""
Identity,account,04247ae2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account11GetNicknameEPNS0_8NicknameERKNS0_3UidE"""
Identity,account,0424c3d2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext14GetSystemEventEPNS_2os11SystemEventE"""
Identity,account,0424c415,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext6CancelEv"""
Identity,account,04247c02,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext7HasDoneEPb"""
Identity,account,04247d19,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContext9GetResultEv"""
Identity,account,04247cf5,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextC1EOS1_"""
Identity,account,04247c2a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextC1Ev"""
Identity,account,04247c4b,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextD1Ev"""
Identity,account,04247cd1,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12AsyncContextaSEOS1_"""
Identity,account,04247ab7,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account12ListAllUsersEPiPNS0_3UidEi"""
Identity,account,0424bc70,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account16GetUserExistenceEPbRKNS0_3UidE"""
Identity,account,04247bb8,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account16ShowUserSelectorEPNS0_3UidERKNS0_21UserSelectionSettingsE"""
Identity,account,04247b47,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account22TryOpenPreselectedUserEPNS0_10UserHandleE"""
Identity,account,04247b19,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account25CachedNintendoAccountInfoC1Ev"""
Identity,account,04247b30,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account25CachedNintendoAccountInfoC1Ev"""
Identity,account,04247e21,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account26GetNetworkServiceAccountIdEPNS0_23NetworkServiceAccountIdERKNS0_10UserHandleE"""
Identity,account,04247e3b,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account26GetNetworkServiceAccountIdEPNS0_23NetworkServiceAccountIdERKNS0_10UserHandleE"""
Identity,account,04247e5a,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account26GetNetworkServiceAccountIdEPNS0_23NetworkServiceAccountIdERKNS0_10UserHandleE"""
Identity,account,04247e7f,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
Identity,account,04247e9a,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
Identity,account,04247ebb,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account29LoadCachedNintendoAccountInfoEPNS0_25CachedNintendoAccountInfoERKNS0_10UserHandleEPvm"""
Identity,account,04247d91,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account32IsNetworkServiceAccountAvailableEPbRKNS0_10UserHandleE"""
Identity,account,04247daa,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account32IsNetworkServiceAccountAvailableEPbRKNS0_10UserHandleE"""
Identity,account,04247dd8,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account36EnsureNetworkServiceAccountAvailableERKNS0_10UserHandleE"""
Identity,account,04247df5,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account36EnsureNetworkServiceAccountAvailableERKNS0_10UserHandleE"""
Identity,account,04247d42,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account37LoadNetworkServiceAccountIdTokenCacheEPmPcmRKNS0_10UserHandleE"""
Identity,account,04247d5d,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account37LoadNetworkServiceAccountIdTokenCacheEPmPcmRKNS0_10UserHandleE"""
Identity,account,04247c6c,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account44EnsureNetworkServiceAccountIdTokenCacheAsyncEPNS0_12AsyncContextERKNS0_10UserHandleE"""
Identity,account,04247c89,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7account44EnsureNetworkServiceAccountIdTokenCacheAsyncEPNS0_12AsyncContextERKNS0_10UserHandleE"""
Identity,account,04247b81,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7account9GetUserIdEPNS0_3UidERKNS0_10UserHandleE"""
Identity,account,042482f3,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends12UserPresence10InitializeERKNS_7account3UidE"""
Identity,account,0424834d,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends13GetFriendListEPiPNS0_6FriendERKNS_7account3UidEiiRKNS0_12FriendFilterE"""
Identity,account,0424b70c,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends14AddPlayHistoryERKNS_7account3UidERKNS0_26PlayHistoryRegistrationKeyERKNS0_15InAppScreenNameESA_"""
Identity,account,0424822c,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends14GetProfileListEPNS0_12AsyncContextEPNS0_7ProfileERKNS_7account3UidEPKNS5_23NetworkServiceAccountIdEi"""
Identity,account,0424824e,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7friends14GetProfileListEPNS0_12AsyncContextEPNS0_7ProfileERKNS_7account3UidEPKNS5_23NetworkServiceAccountIdEi"""
Identity,account,04248542,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends16UpdateFriendInfoEPNS0_6FriendERKNS_7account3UidEPKNS3_23NetworkServiceAccountIdEi"""
Identity,account,04248564,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7friends16UpdateFriendInfoEPNS0_6FriendERKNS_7account3UidEPKNS3_23NetworkServiceAccountIdEi"""
Identity,account,0424841a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends17NotificationQueue10InitializeERKNS_7account3UidE"""
Identity,account,042481b6,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends18GetBlockedUserListEPiPNS_7account23NetworkServiceAccountIdERKNS2_3UidEii"""
Identity,account,042481cd,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7friends18GetBlockedUserListEPiPNS_7account23NetworkServiceAccountIdERKNS2_3UidEii"""
Identity,account,042480f2,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends18ShowUserDetailInfoERKNS_7account3UidERKNS1_23NetworkServiceAccountIdERKNS0_15InAppScreenNameESA_"""
Identity,account,04248114,41 63 63 6f 75 6e 74,Account,,"ds ""_ZN2nn7friends18ShowUserDetailInfoERKNS_7account3UidERKNS1_23NetworkServiceAccountIdERKNS0_15InAppScreenNameESA_"""
Identity,account,0424bd2a,61 63 63 6f 75 6e 74,account,,"ds ""_ZN2nn7friends29GetPlayHistoryRegistrationKeyEPNS0_26PlayHistoryRegistrationKeyERKNS_7account3UidEb"""
Identity,account,04247ee6,61 63 63 6f 75 6e 74,account,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo10GetCountryEPm"""
Identity,account,04247efd,41 63 63 6f 75 6e 74,Account,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo10GetCountryEPm"""
Identity,account,04247f58,61 63 63 6f 75 6e 74,account,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo11GetBirthdayEPm"""
Identity,account,04247f6f,41 63 63 6f 75 6e 74,Account,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo11GetBirthdayEPm"""
Identity,account,04247f20,61 63 63 6f 75 6e 74,account,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo9GetGenderEPm"""
Identity,account,04247f37,41 63 63 6f 75 6e 74,Account,,"ds ""_ZNK2nn7account25CachedNintendoAccountInfo9GetGenderEPm"""
