Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
04441c14,Wait,1,1,DATA,1,002ae218,0x2ae218,"stp xzr,x8,[x29, #-0x68]",002ade70,0x2ade70,FUN_002ade70,,,Global,"uint __cdecl FUN_002ade70(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined8 * param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1148,62,1,decompiled/FUN_002ade70__002ade70.c,decompiled/FUN_002ade70__002ade70.mmd,4cba37d2589a3da4,fc0f1af8fa6701a9f85f02a9f65703a9f44f04a9fd7b05a9fd430191ffc312d1,,04441c14 -> 002ae218
04441c14,Wait,1,1,PARAM,0,002ae290,0x2ae290,"csel x0,x13,x23,eq",002ade70,0x2ade70,FUN_002ade70,,,Global,"uint __cdecl FUN_002ade70(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined8 * param_9, undefined8 param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1148,62,1,decompiled/FUN_002ade70__002ade70.c,decompiled/FUN_002ade70__002ade70.mmd,4cba37d2589a3da4,fc0f1af8fa6701a9f85f02a9f65703a9f44f04a9fd7b05a9fd430191ffc312d1,,04441c14 -> 002ae290
04452eab,Wait,1,1,DATA,1,0018430c,0x18430c,"stp xzr,x9,[x20, #0x38]",001842c0,0x1842c0,FUN_001842c0,,,Global,"undefined __cdecl FUN_001842c0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined4 * param_9)",120,4,1,decompiled/FUN_001842c0__001842c0.c,decompiled/FUN_001842c0__001842c0.mmd,0d0e56fdfa046a32,ff0301d1f44f02a9fd7b03a9fdc30091f30308aa083440f9087544b91f090071,,04452eab -> 0018430c
0436a843,Wait,1,1,DATA,0,0018832c,0x18832c,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,0436a843 -> 0018832c
0436a843,Wait,1,1,DATA,0,001883a0,0x1883a0,"str x11,[x19, #0x40]",,,,,,,,0,0,0,,,,,,0436a843 -> 001883a0
0436a843,Wait,1,1,DATA,0,00188550,0x188550,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,0436a843 -> 00188550
043174db,Wait,1,0,DATA,0,03a72a00,0x3a72a00,addr 043174db,,,,,,,,0,0,0,,,,,,043174db -> 03a72a00
043de649,Wait,1,0,DATA,0,03a72988,0x3a72988,addr 043de649,,,,,,,,0,0,0,,,,,,043de649 -> 03a72988
