Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
0441fc0b,key,1,0,DATA,0,03eae330,0x3eae330,addr 0441fc0b,,,,,,,,0,0,0,,,,,,0441fc0b -> 03eae330
04741eb7,key,1,1,WRITE,1,00ec68ac,0xec68ac,"str w10,[x24, #0xfc]",00ec67c4,0xec67c4,FUN_00ec67c4,,,Global,undefined FUN_00ec67c4(void),89872,5419,2,,decompiled/FUN_00ec67c4__00ec67c4.mmd,,0afb00b90a0140395f310071210400540a1140b84b050071cb0300540a5180b8,,04741eb7 -> 00ec68ac
04741eb7,key,1,1,WRITE,1,028dd0ac,0x28dd0ac,"str s0,[x19, #0xfc]",,,,,,,,0,0,0,,,,,,04741eb7 -> 028dd0ac
04741eb7,key,1,1,READ,1,028887e4,0x28887e4,"ldrsw x17,[x13, x17, LSL #0x2]",027cd3f0,0x27cd3f0,FUN_027cd3f0,,,Global,"undefined __cdecl FUN_027cd3f0(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, uint * param_8, ulong param_9, undefined * param_10, uint * param_11, undefined1 * param_12, undefined * param_13, uint * param_14, undefined * param_15, undefined * param_16, ulong param_17, ulong param_18, undefined8 param_19)",86392,5396,1,decompiled/FUN_027cd3f0__027cd3f0.c,decompiled/FUN_027cd3f0__027cd3f0.mmd,8f2a8ba1536bccb4,e80f19fcfc6f01a9fa6702a9f85f03a9f65704a9f44f05a9fd7b06a9fd830191,,04741eb7 -> 028887e4
04741eb7,key,1,1,DATA,1,00840fc8,0x840fc8,"str w10,[x23, #0xfc]",,,,,,,,0,0,0,,,,,,04741eb7 -> 00840fc8
04741eb7,key,1,1,DATA,1,00598520,0x598520,"str w8,[x9, #0xfc]",005f4bf0,0x5f4bf0,FUN_005f4bf0,,,Global,undefined FUN_005f4bf0(void),110412,6965,0,decompiled/FUN_005f4bf0__005f4bf0.c,decompiled/FUN_005f4bf0__005f4bf0.mmd,2f5095b0dc9a9eb8,ff4303d1ec2300fdeb2b056de923066dfc6f07a9fa6708a9f85f09a9f6570aa9,,04741eb7 -> 00598520
04741eb7,key,1,1,WRITE,1,005fb290,0x5fb290,"str w10,[x26, #0xfc]",005f4bf0,0x5f4bf0,FUN_005f4bf0,,,Global,undefined FUN_005f4bf0(void),110412,6965,0,decompiled/FUN_005f4bf0__005f4bf0.c,decompiled/FUN_005f4bf0__005f4bf0.mmd,2f5095b0dc9a9eb8,ff4303d1ec2300fdeb2b056de923066dfc6f07a9fa6708a9f85f09a9f6570aa9,,04741eb7 -> 005fb290
