Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
042f6109,Host,1,1,DATA,1,00184cdc,0x184cdc,"stp xzr,x9,[x20, #0x38]",00184c60,0x184c60,FUN_00184c60,,,Global,"undefined __cdecl FUN_00184c60(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long * param_8, undefined4 * param_9, undefined4 param_10)",148,4,1,decompiled/FUN_00184c60__00184c60.c,decompiled/FUN_00184c60__00184c60.mmd,6f7102dc3fb3550a,ff4301d1f65702a9f44f03a9fd7b04a9fd030191f503022af60301aaf40300aa,,042f6109 -> 00184cdc
04338738,Host,1,1,READ,1,002a3d1c,0x2a3d1c,"ldrb w11,[x10]",002a38c0,0x2a38c0,FUN_002a38c0,,,Global,"undefined8 __cdecl FUN_002a38c0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long param_9, size_t param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1932,79,1,decompiled/FUN_002a38c0__002a38c0.c,decompiled/FUN_002a38c0__002a38c0.mmd,38f9aea31180f4f2,ff4303d1fa6708a9f85f09a9f6570aa9f44f0ba9fd7b0ca9fd030391e8031832,,04338738 -> 002a3d1c
04441b2b,Host,1,1,PARAM,0,00155300,0x155300,"add x1,x1,#0xb2b",,,,,,,,0,0,0,,,,,,04441b2b -> 00155300
043de505,Host,1,1,DATA,0,0017c63c,0x17c63c,"str x8,[x19, #0x40]",,,,,,,,0,0,0,,,,,,043de505 -> 0017c63c
042d47d1,Host,1,1,DATA,0,001c8cd4,0x1c8cd4,"add x0,x0,#0x7d1",,,,,,,,0,0,0,,,,,,042d47d1 -> 001c8cd4
0437acd7,Host,1,1,PARAM,0,00241a50,0x241a50,"add x1,x1,#0xcd7",,,,,,,,0,0,0,,,,,,0437acd7 -> 00241a50
043cd963,Host,1,1,PARAM,0,001cf47c,0x1cf47c,"add x0,x0,#0x963",001cf400,0x1cf400,FUN_001cf400,,,Global,"undefined __cdecl FUN_001cf400(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, long param_9, ulong param_10, undefined8 param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",576,30,7,decompiled/FUN_001cf400__001cf400.c,decompiled/FUN_001cf400__001cf400.mmd,62d9d796eec3541b,fb0f1af8fa6701a9f85f02a9f65703a9f44f04a9fd7b05a9fd430191f40301aa,,043cd963 -> 001cf47c
043cd963,Host,1,1,PARAM,0,001d05d0,0x1d05d0,"add x0,x0,#0x963",001d0580,0x1d0580,FUN_001d0580,,,Global,"ulong __cdecl FUN_001d0580(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8, undefined8 param_9, ulong param_10)",156,7,23,decompiled/FUN_001d0580__001d0580.c,decompiled/FUN_001d0580__001d0580.mmd,92e89444226f4a5d,f50f1df8f44f01a9fd7b02a9fd830091082441a90a0d40f94b0109cbf40302aa,,043cd963 -> 001d05d0
0438af39,Host,1,1,PARAM,0,002241a0,0x2241a0,"add x1,x1,#0xf39",00224130,0x224130,FUN_00224130,,,Global,"undefined4 __cdecl FUN_00224130(undefined1[16] param_1, undefined1[16] param_2, undefined1[16] param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, int * param_8, long param_9, size_t param_10, undefined8 param_11, long * param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15)",1088,27,1,decompiled/FUN_00224130__00224130.c,decompiled/FUN_00224130__00224130.mmd,1ce68f973ce2bb55,ff4307d1fc6718a9f85f19a9f6571aa9f44f1ba9fd7b1ca9fd030791f30300aa,,0438af39 -> 002241a0
