Location,Match Value,Depth,Terminal,Ref Type,Operand Index,From Address,From Offset,From Code Unit,Function Address,Function Offset,Function Name,Function Symbol,Function Demangled,Function Namespace,Function Signature,Function Size,Function Basic Blocks,Function Incoming Refs,Function Decompile Path,Function CFG Path,Function Clone Hash,Function Fingerprint,Function Referenced By,Path
0427e840,port,1,1,PARAM,0,0002059c,0x2059c,"add x1,x1,#0x840",,,,,,,,0,0,0,,,,,,0427e840 -> 0002059c
04452a47,port,1,1,PARAM,0,000357a8,0x357a8,"add x1,x1,#0xa47",,,,,,,,0,0,0,,,,,,04452a47 -> 000357a8
04441931,port,1,1,DATA,0,000c8ee0,0xc8ee0,"str x8,[x19, #0x40]",000c8ea0,0xc8ea0,FUN_000c8ea0,,,Global,"undefined8 __cdecl FUN_000c8ea0(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",92,1,0,decompiled/FUN_000c8ea0__000c8ea0.c,decompiled/FUN_000c8ea0__000c8ea0.mmd,1b6b961c7023268c,ffc300d1f30b00f9fd7b02a9fd830091f30300aa003440f9e8030091b1fbff97,,04441931 -> 000c8ee0
04441931,port,1,1,DATA,0,000c8ac4,0xc8ac4,"str x9,[x19, #0x40]",000c8a98,0xc8a98,FUN_000c8a98,,,Global,"undefined8 __cdecl FUN_000c8a98(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",244,8,0,decompiled/FUN_000c8a98__000c8a98.c,decompiled/FUN_000c8a98__000c8a98.mmd,0907bac70c55b4c7,fd7b03a9fdc30091083040f9f30300aac80100b408a1403988010034c88e02f0,,04441931 -> 000c8ac4
04441931,port,1,1,DATA,0,000c9240,0xc9240,"str x9,[x19, #0x40]",000c91a8,0xc91a8,FUN_000c91a8,,,Global,"undefined8 __cdecl FUN_000c91a8(undefined1[16] param_1, undefined1[16] param_2, float param_3, undefined1[16] param_4, undefined1[16] param_5, undefined1[16] param_6, undefined1[16] param_7, long param_8)",172,6,0,decompiled/FUN_000c91a8__000c91a8.c,decompiled/FUN_000c91a8__000c91a8.mmd,79da2e9777a072ec,fd7b02a9fd830091f30300aa003440f9080040f9080d40f900013fd6c0010036,,04441931 -> 000c9240
043bbc51,port,1,0,DATA,0,03ea6bf0,0x3ea6bf0,addr 043bbc51,,,,,,,,0,0,0,,,,,,043bbc51 -> 03ea6bf0
